Word,Alternative.spelling,Freq_pm,Dom_PoS_SUBTLEX,Nletters,Nphon,Nsyll,Lemma_highest_PoS,AoA_Kup,Perc_known,AoA_Kup_lem,Perc_known_lem,AoA_Bird_lem,AoA_Bristol_lem,AoA_Cort_lem,AoA_Schock
a,a,20415.27,Article,1,1,1,a,2.89,1.00,2.89,1.00,3.16,,,
aardvark,aardvark,0.41,Noun,8,7,2,aardvark,9.89,1.00,9.89,1.00,,,,
abacus,abacus,0.24,Noun,6,6,3,abacus,8.69,0.65,8.69,0.65,,,,
abacuses,abacuses,0.02,Noun,8,9,4,abacus,,,8.69,0.65,,,,
abalone,abalone,0.51,Verb,7,7,4,abalone,12.23,0.72,12.23,0.72,,,,
abalones,abalones,0.12,Noun,8,7,3,abalone,,,12.23,0.72,,,,
abandon,abandon,8.10,Verb,7,7,3,abandon,8.32,1.00,8.32,1.00,,,,
abandoned,abandoned,13.29,Verb,9,8,3,abandon,,,8.32,1.00,,,,
abandoner,abandoner,0.02,Noun,9,8,4,abandoner,11.89,0.95,11.89,0.95,,,,
abandoning,abandoning,1.69,Verb,10,9,4,abandon,,,8.32,1.00,,,,
abandonment,abandonment,0.96,Noun,11,11,4,abandonment,10.27,1.00,10.27,1.00,,10.70,,
abandons,abandons,0.27,Verb,8,8,3,abandon,,,8.32,1.00,,,,
abase,abase,0.06,Verb,5,4,2,abase,14.57,0.74,14.57,0.74,,,,
abasement,abasement,0.00,#N/A,9,8,3,abasement,15.13,0.63,15.13,0.63,,,,
abate,abate,0.10,Verb,5,4,2,abate,14.44,0.95,14.44,0.95,11.93,,,
abated,abated,0.08,Verb,6,6,3,abate,,,14.44,0.95,11.93,,,
abatement,abatement,0.06,Noun,9,8,3,abatement,15.12,0.81,15.12,0.81,,12.58,,
abates,abates,0.04,Verb,6,5,2,abate,,,14.44,0.95,11.93,,,
abating,abating,0.02,Verb,7,6,3,abate,,,14.44,0.95,11.93,,,
abattoir,abattoir,0.14,Noun,8,6,3,abattoir,15.17,0.32,15.17,0.32,,,,
abbacy,abbacy,#N/A,#N/A,6,5,3,abbacy,14.50,0.10,14.50,0.10,,,,
abbess,abbess,0.04,Noun,6,4,2,abbess,15.43,0.37,15.43,0.37,,,,
abbesses,abbesses,0.02,Noun,8,6,3,abbess,,,15.43,0.37,,,,
abbey,abbey,3.18,Noun,5,3,2,abbey,13.06,0.86,13.06,0.86,,9.49,,11.29
abbot,abbot,0.84,Name,5,4,2,abbot,12.10,0.75,12.10,0.75,,,,12.43
abbreviate,abbreviate,0.02,Verb,10,8,4,abbreviate,9.95,1.00,9.95,1.00,,,,
abbreviated,abbreviated,0.31,Adjective,11,10,5,abbreviated,10.50,1.00,10.50,1.00,,,,
abbreviation,abbreviation,0.24,Noun,12,10,5,abbreviation,9.11,1.00,9.11,1.00,,,,
abbreviations,abbreviations,0.20,Noun,13,11,5,abbreviation,,,9.11,1.00,,,,
abdicate,abdicate,0.18,Verb,8,7,3,abdicate,12.60,0.83,12.60,0.83,,,,
